date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:55	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.125.delayed	(from https://java.com/en/download/help/sysreq.xml?printFriendly=true)
14:43:55	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.126.delayed	(from https://java.com/en/download/help/virus.xml?printFriendly=true)
14:43:56	14128/14128	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:13:57%20GMT	https://java.com/en/download/help/cache_virus.xml?printFriendly=true	C:/My%20Web%20Sites/help/java.com/en/download/help/cache_virus118c.html	(from https://java.com/en/download/help/cache_virus.xml)
14:43:56	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.128.delayed	(from https://java.com/en/download/help/cache_virus.xml)
14:43:57	7268/7268	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2009:13:58%20GMT	https://java.com/en/download/help/en_javac:Support:Help:cache_virus.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/en_javac_Support_Help_cache_virus.xml	(from https://java.com/en/download/help/cache_virus.xml)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12a.delayed	(from https://java.com/en/download/help/index_using.xml?j=8)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12b.delayed	(from https://java.com/en/download/help/error_mixedcode.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12c.delayed	(from https://java.com/en/download/help/javascript_applet.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12d.delayed	(from https://java.com/en/download/help/disable_sslv3.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12e.delayed	(from https://java.com/en/download/help/signedjar_dialog.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.12f.delayed	(from https://java.com/en/download/help/revocation_options.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.130.delayed	(from https://java.com/en/download/help/trusted_signed_variations.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.131.delayed	(from https://java.com/en/download/help/trusted_expired_variations.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.132.delayed	(from https://java.com/en/download/help/error_embargoed.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.133.delayed	(from https://java.com/en/download/help/run_old_java.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.134.delayed	(from https://java.com/en/download/help/linux_uninstall.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.135.delayed	(from https://java.com/en/download/help/javafx_install.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.136.delayed	(from https://java.com/en/download/help/mac_install.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.137.delayed	(from https://java.com/en/download/help/mac_java_cache.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.138.delayed	(from https://java.com/en/download/help/mac_java_update.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.139.delayed	(from https://java.com/en/download/help/connect_proxy.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.13a.delayed	(from https://java.com/en/download/help/windows_manual_download.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.13b.delayed	(from https://java.com/en/download/help/windows_offline_download.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.13c.delayed	(from https://java.com/en/download/help/linux_install.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.13d.delayed	(from https://java.com/en/download/help/solaris_install.xml?printFriendly=true)
14:43:57	0/-1	---M--	301	error ('')			https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.13e.delayed	(from https://java.com/en/download/help/cache_virus.xml?printFriendly=true)
